date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-04-04,0,100,-11,-52,0,100,-100,0,0,-100,0,0,-78,-78,0,0,-100,0,0,-47,57,100,-3,0,0,0,0,1,-100
2022-04-05,-89,72,-51,75,0,94,-4,0,-100,-6,0,56,-47,22,-23,-85,100,0,0,-44,-32,-100,0,0,-65,0,-52,-87,36
2022-04-06,41,69,0,100,0,68,0,11,49,-43,0,-2,-100,-29,100,-100,-16,0,0,-100,0,-32,100,0,-15,91,40,-21,-15
2022-04-07,-40,-43,66,-18,81,0,0,0,0,-38,40,0,-100,89,68,-17,-100,0,0,0,0,0,0,0,0,0,-100,0,0
2022-04-08,50,-100,-66,100,10,-100,0,-11,40,0,-10,-75,100,-52,100,100,100,0,95,96,19,-100,-96,0,-47,-58,74,0,-42
2022-04-11,-100,-4,0,0,0,-18,3,62,-100,0,100,100,-100,0,-29,-78,-30,0,-73,-100,0,100,0,0,100,-33,-47,0,0
2022-04-12,0,0,0,-100,100,-42,100,-62,0,0,0,100,-21,-45,-100,-22,-22,0,-22,-57,64,-100,-47,0,0,100,100,0,-6
2022-04-13,-88,-37,11,-26,-100,26,-100,0,-28,0,27,34,0,24,-64,0,69,38,0,35,-100,35,-5,25,-100,43,100,70,100
2022-04-14,78,96,-11,39,-91,-74,-3,0,0,0,-88,15,0,100,-100,0,-69,100,100,87,30,-53,100,-25,0,-9,100,-70,69
2022-04-18,0,-100,100,100,0,-92,0,100,0,0,0,-46,0,0,30,0,0,-10,78,-42,93,-99,-50,0,89,-30,0,0,0
2022-04-19,-8,-100,-100,0,0,100,0,-56,0,93,74,100,0,1,56,0,-100,-100,100,-18,-49,69,30,0,-89,100,-100,0,78
2022-04-20,26,-89,0,-34,100,11,0,-16,0,100,-60,-100,21,-80,-67,0,64,-24,-100,-100,100,80,47,0,0,-62,-73,7,-41
2022-04-21,46,-28,0,100,-100,100,0,-28,0,-100,-46,0,100,-25,100,0,100,100,0,-61,0,0,0,0,0,-56,2,100,-8
2022-04-22,39,-55,100,-46,28,-100,0,100,100,-62,-37,-73,-12,-100,85,30,100,46,-100,100,-85,-100,-79,0,19,-83,-10,100,27
2022-04-25,-100,0,-17,0,-28,100,0,-7,-12,-31,0,-100,100,0,100,0,1,0,3,-100,0,0,100,0,86,0,100,0,-14
2022-04-26,100,-55,-63,-2,0,5,0,100,100,0,100,-41,-70,-10,0,-30,-3,-45,-59,-65,-100,-2,-100,0,84,-3,0,-100,0
2022-04-27,-61,100,100,-36,0,30,49,50,-100,0,46,0,-87,53,-100,91,63,100,0,-38,0,0,-66,0,-90,59,-100,-32,-71
2022-04-28,61,-100,1,-79,0,-100,72,23,-88,100,-54,59,-52,-96,-27,35,84,7,31,34,-67,-85,-5,0,19,-44,100,-75,100
2022-04-29,10,-77,48,-32,0,-14,-4,100,0,-82,-4,76,0,36,-41,-29,-100,-100,100,92,-58,0,29,6,100,100,-66,65,-50
2022-05-02,-24,100,-100,100,0,0,100,0,0,0,0,0,0,-64,-4,-97,1,0,-100,26,-26,0,0,-6,100,-69,-29,-37,-91
2022-05-03,-100,99,-10,-3,0,-23,93,-100,81,-18,0,-100,0,100,-54,0,-26,0,0,-28,0,0,-55,0,96,-34,91,-15,0
2022-05-04,0,100,20,-46,0,-30,-18,0,-14,0,-19,-19,0,0,0,0,-100,0,-53,-100,0,0,100,0,0,0,2,-13,100
2022-05-05,-100,-53,100,-63,0,100,100,-77,100,50,-69,-100,34,100,62,0,-14,0,0,-40,0,0,-1,95,-55,87,66,21,-56
2022-05-06,-94,-100,56,-37,100,0,27,82,0,-50,74,100,51,-15,-21,0,-78,-43,0,-100,39,0,-35,57,0,-99,14,-21,0
2022-05-09,-80,0,60,-37,0,100,-68,-12,-23,0,-72,-44,-85,2,0,0,82,-69,0,-44,0,0,0,0,100,0,100,100,-66
2022-05-10,0,-59,0,-72,0,0,-34,0,100,100,56,0,0,0,-100,0,-100,100,0,-14,0,1,-25,-10,-42,0,-26,-100,-3
2022-05-11,0,0,0,0,0,0,-100,95,0,0,100,0,0,100,-100,0,0,0,100,-24,-39,-1,0,-100,0,0,-100,0,-43
2022-05-12,0,100,-87,0,0,0,2,-75,0,-100,0,-2,0,-100,100,0,-47,-100,97,0,100,0,0,80,0,0,-100,0,-31
2022-05-13,0,0,100,12,0,100,-4,-67,-100,0,-100,83,0,-74,-49,46,-100,0,-100,-100,89,0,-39,0,-7,82,-56,100,0
2022-05-16,23,-77,-100,-98,-100,-58,100,-100,100,100,-18,96,100,-7,-7,-41,-34,100,100,81,-100,84,0,100,-100,26,-3,-100,22
2022-05-17,-23,-418,-208,-102,0,-370,-315,-112,-244,-100,-40,-528,-100,-345,-529,-5,-270,-100,-197,-314,-89,-84,0,-222,-310,-108,-507,0,-22
2022-05-18,3,0,0,100,0,0,72,0,58,0,81,85,50,0,0,0,0,0,0,23,21,94,0,0,0,0,35,0,100
2022-05-19,-3,0,0,-100,0,0,-72,0,-58,0,-81,-85,-50,0,0,0,0,0,0,-23,-21,-94,0,0,0,0,-35,0,-100
2022-05-20,17,34,100,100,100,0,0,4,0,22,0,100,100,52,67,58,72,0,58,0,100,0,0,33,0,0,0,5,100
2022-05-23,-17,-34,-59,82,74,0,74,73,0,-22,55,9,62,-52,48,-39,27,0,100,38,-100,0,44,100,53,0,100,19,100
2022-05-24,100,0,-33,100,35,57,-73,100,11,10,83,-100,76,100,100,-19,-99,0,100,100,0,57,-44,-77,-53,84,-35,97,-100
2022-05-25,-100,100,100,-100,-89,37,-1,20,-11,-10,100,-9,42,94,-55,0,0,0,3,-45,42,12,0,-10,9,100,3,100,28
2022-05-26,100,-33,-94,0,-25,-31,0,-88,0,70,100,51,-39,100,62,100,3,0,-3,12,83,-69,100,-9,75,-100,-19,-99,100
2022-05-27,-39,-47,100,84,21,-63,0,88,0,-16,3,-51,99,100,17,-100,1,0,-31,100,-100,0,100,100,9,-45,78,-13,-100
2022-05-31,94,-20,100,-76,-17,0,0,100,0,-1,-75,0,-100,-100,75,0,7,0,-100,-83,100,0,86,-56,-6,100,89,33,33
2022-06-01,-92,0,63,32,-3,0,0,28,20,-7,-100,21,1,-100,100,18,100,0,-69,-90,-50,86,-100,-40,-87,23,-41,-84,23
2022-06-02,67,18,0,23,-96,0,100,100,-20,-46,92,100,-48,-14,-100,-18,21,41,100,84,-75,-86,-84,23,0,100,100,-58,63
2022-06-03,46,-18,0,60,100,0,27,47,0,0,-100,-11,38,-2,96,0,82,-41,-100,65,0,0,100,-64,85,-49,-100,1,-75
2022-06-06,33,100,-93,100,0,11,-99,59,0,0,-100,67,100,100,-19,44,-28,41,29,12,0,0,6,0,-85,-46,100,100,6
2022-06-07,100,100,100,-31,-100,11,100,-63,21,0,100,-100,-37,-100,-100,-44,-22,65,100,-100,84,0,-11,42,82,25,59,-90,-33
2022-06-08,-21,-70,49,77,0,21,-100,32,81,0,17,-36,-16,-1,-23,41,7,-5,36,26,100,0,52,39,0,50,87,-11,100
2022-06-09,-14,-71,100,100,0,-43,83,99,5,88,6,7,-100,42,-60,-41,100,-76,-100,73,29,42,-100,34,49,-100,-32,90,100
2022-06-10,48,94,-14,55,6,0,-100,61,-27,-4,-100,52,-70,-94,-59,70,-21,100,-100,75,63,50,-37,100,100,-51,65,-46,-10
2022-06-13,49,-100,-98,100,-6,90,-3,44,50,-84,100,1,66,100,-27,-70,89,-69,92,-47,-36,37,100,-85,-100,100,20,-44,100
2022-06-14,-100,-25,100,-100,0,-81,100,-98,100,0,100,81,26,-10,100,90,100,-56,100,41,-3,-57,23,5,-65,72,-100,59,87
2022-06-15,71,-28,-59,-100,100,-9,10,-100,56,100,-6,77,18,-58,82,-90,-100,1,-17,7,-65,100,21,58,-50,-100,-100,-59,34
2022-06-16,-100,81,100,91,-16,33,0,81,0,-62,100,-89,90,-14,0,0,-70,-1,95,-2,70,-100,100,0,-16,100,2,0,100
2022-06-17,71,-68,79,15,75,-33,-18,6,32,-38,-63,-66,-100,100,-100,100,-100,14,100,43,0,-26,-74,-27,0,-100,-100,0,5
2022-06-21,-68,99,-100,81,-32,0,79,-18,100,0,0,-18,0,-79,0,-53,100,100,100,1,-7,100,-100,-15,53,-2,-36,0,100
2022-06-22,0,0,0,-100,100,0,-47,0,-100,100,0,-6,70,-100,0,-47,-26,0,0,-38,0,0,0,-53,-53,100,0,0,-1
2022-06-23,-100,-100,-100,-100,100,0,75,100,-3,-100,100,100,-74,98,98,0,100,84,100,100,-100,-100,61,-34,0,-100,100,25,-100
2022-06-24,-100,81,-34,-53,-71,0,-2,0,-100,0,-82,-29,-11,0,0,0,-10,0,100,-20,100,1,0,-64,100,0,0,-16,-53
2022-06-27,0,100,71,0,-19,0,-25,-13,1,0,-18,0,-12,-22,100,0,0,0,0,-76,-76,-47,0,0,0,-47,100,-9,0
2022-06-28,-45,0,-75,100,-18,96,100,57,-94,100,-100,0,-68,1,89,0,-90,-100,89,0,-80,0,-100,0,85,-55,0,100,-100
2022-06-29,0,-17,77,32,-100,-2,-66,-55,0,0,-100,94,0,0,0,0,1,-5,0,100,-37,0,-34,0,88,-47,-25,0,0
2022-06-30,90,100,-66,0,0,0,100,100,0,-3,-31,-100,-100,-80,0,0,100,100,0,-100,-42,0,-65,0,0,-12,-100,-28,100
2022-07-01,3,-81,-100,-100,62,8,-68,53,-100,-39,3,81,-13,-61,11,50,-90,100,-100,-14,33,10,-44,0,-43,19,43,100,100
